Accomplished
Achieved
Adapted
Arranged
Attained
Built
Captured
Commandeered
Completed
Converted
Crafted
Created
Cut
Delivered
Demonstrated
Designed
Developed
Devised
Directed
Distributed
Doubled
Drove
Earned
Eliminated
Encouraged
Enforced
Engineered
Ensured
Established
Expanded
Expedited
Founded
Generated
Guided
Identified
Implemented
Improved
Improvised
Increased
Initiated
Inspired
Installed
Instigated
Instructed
Interpreted
Introduced
Launched
Led
Liaised
Modernized
Motivated
Negotiated
Organized
Promoted
Redesigned
Revitalized
Started
Streamlined
Strengthened
Structured
Supervised
Transformed
Uncovered
Widened
Won
